Title of Listing,Asking Price,Kilometres,"Seller Location,",KijijiAutos Link
1993 Nissan 240 SX,"$8,000","117,000 km",Southwest,https://www.kijijiautos.ca/cars/nissan/240-sx/used/#vip=17324556 
1991 Nissan 240 SX S13,"$15,000","215,000 km",Old Toronto,https://www.kijijiautos.ca/cars/nissan/240-sx/used/#vip=17318522 
1993 Nissan 240 SX SE,"$8,000","117,000 km",Montreal,https://www.kijijiautos.ca/cars/nissan/240-sx/used/#vip=17317803 
1993 Nissan 240 SX,"$7,000","220,000 km",-,https://www.kijijiautos.ca/cars/nissan/240-sx/used/#vip=17301719 
1989 Nissan 240 SX,"$8,200","180,000 km",-,https://www.kijijiautos.ca/cars/nissan/240-sx/used/#vip=17296596 
2001 Nissan 240 SX S15 Silvia Autech,"$18,600","69,000 km",Southeast Calgary,https://www.kijijiautos.ca/cars/nissan/240-sx/used/#vip=17275004 
1995 Nissan 240 SX SE,"$6,000","288,000 km",Etobicoke,https://www.kijijiautos.ca/cars/nissan/240-sx/used/#vip=17271822 
1992 Nissan 240 SX,"$2,400",1 km,-,https://www.kijijiautos.ca/cars/nissan/240-sx/used/#vip=17264221 
1990 Nissan 240 SX,"$4,800",1 km,-,https://www.kijijiautos.ca/cars/nissan/240-sx/used/#vip=17260332 
1995 Nissan 240 SX,"$4,500","12,345 km",-,https://www.kijijiautos.ca/cars/nissan/240-sx/used/#vip=17254065 
1994 Nissan 240 SX,"$2,500","12,345 km",Regina,https://www.kijijiautos.ca/cars/nissan/240-sx/used/#vip=17253802 
1989 Nissan 240 SX,"$5,500","75,000 km",-,https://www.kijijiautos.ca/cars/nissan/240-sx/used/#vip=17253040 
1990 Nissan 240 SX,"$7,800","102,000 km",-,https://www.kijijiautos.ca/cars/nissan/240-sx/used/#vip=17251643 
1995 Nissan 240 SX LE,"$13,300","150,490 km",College Park,https://www.kijijiautos.ca/cars/nissan/240-sx/used/#vip=17250431 
1995 Nissan 240 SX,"$18,999","200,000 km",Brossard,https://www.kijijiautos.ca/cars/nissan/240-sx/used/#vip=17245026 
1996 Nissan 240 SX Le,"$12,999","167,000 km",-,https://www.kijijiautos.ca/cars/nissan/240-sx/used/#vip=17237370 
1996 Nissan 240 SX,"$25,000","180,000 km",-,https://www.kijijiautos.ca/cars/nissan/240-sx/used/#vip=17233378 
1996 Nissan 240 SX LE,"$12,999","167,000 km",Markham,https://www.kijijiautos.ca/cars/nissan/240-sx/used/#vip=17205823 
1989 Nissan 240 SX RB20DET,"$4,500","150,000 km",Saint-Hubert,https://www.kijijiautos.ca/cars/nissan/240-sx/used/#vip=17197889 
1993 Nissan 240 SX,"$12,500","220,000 km",Southeast Calgary,https://www.kijijiautos.ca/cars/nissan/240-sx/used/#vip=17150258 
