Title of Listing,Asking Price,Kilometres,"Seller Location,",KijijiAutos Link
1986 Mazda RX-7,"$6,500","135,000 km",District Bellevue,https://www.kijijiautos.ca/cars/mazda/rx-7/used/#vip=17330767 
1988 Mazda RX-7 GXL,"$5,000","203,000 km",-,https://www.kijijiautos.ca/cars/mazda/rx-7/used/#vip=17327775 
1988 Mazda RX-7 GTU,"$7,500","130,000 km",Woodbridge,https://www.kijijiautos.ca/cars/mazda/rx-7/used/#vip=17327504 
1986 Mazda RX-7,"$22,000",120 km,-,https://www.kijijiautos.ca/cars/mazda/rx-7/used/#vip=17309229 
1993 Mazda RX-7,"$55,000",100 km,-,https://www.kijijiautos.ca/cars/mazda/rx-7/used/#vip=17294772 
1983 Mazda RX-7,"$4,000","255,000 km",Edgeley,https://www.kijijiautos.ca/cars/mazda/rx-7/used/#vip=17275037 
1993 Mazda RX-7 R1,"$65,000","62,000 km",-,https://www.kijijiautos.ca/cars/mazda/rx-7/used/#vip=17269892 
1979 Mazda RX-7 400HP,"$12,500","99,000 km",-,https://www.kijijiautos.ca/cars/mazda/rx-7/used/#vip=17216543 
1982 Mazda RX-7,"$9,888","9,999,999 km",West Lethbridge,https://www.kijijiautos.ca/cars/mazda/rx-7/used/#vip=17187201 
1979 Mazda RX-7,"$3,900","91,000 km",-,https://www.kijijiautos.ca/cars/mazda/rx-7/used/#vip=17182409 
1992 Mazda RX-7,"$15,000","156,000 km",-,https://www.kijijiautos.ca/cars/mazda/rx-7/used/#vip=17166629 
1982 Mazda RX-7,"$1,000","129,000 km",Kamloops,https://www.kijijiautos.ca/cars/mazda/rx-7/used/#vip=17164952 
1991 Mazda RX-7,"$16,000",120 km,-,https://www.kijijiautos.ca/cars/mazda/rx-7/used/#vip=17134805 
1986 Mazda RX-7,"$5,000","30,000 km",-,https://www.kijijiautos.ca/cars/mazda/rx-7/used/#vip=17130984 
1985 Mazda RX-7,"$1,800","100,000 km",-,https://www.kijijiautos.ca/cars/mazda/rx-7/used/#vip=17117909 
1982 Mazda RX-7,"$7,300","70,000 km",Westwood,https://www.kijijiautos.ca/cars/mazda/rx-7/used/#vip=17111826 
1989 Mazda RX-7,"$18,000","94,330 km",Martindale,https://www.kijijiautos.ca/cars/mazda/rx-7/used/#vip=17086927 
1992 Mazda RX-7,"$25,000","140,000 km",-,https://www.kijijiautos.ca/cars/mazda/rx-7/used/#vip=17074606 
1991 Mazda RX-7 gxl,"$2,500","1,234 km",-,https://www.kijijiautos.ca/cars/mazda/rx-7/used/#vip=17073656 
1986 Mazda RX-7,"$3,000","250,000 km",Edgeley,https://www.kijijiautos.ca/cars/mazda/rx-7/used/#vip=17014353 
